productId,group,name,cleanName,url,subTypeName,lowPrice,midPrice,marketPrice
545713,Secret Lair Drop Series,Secret Lair Drop: Secret Lair x Fallout: S.P.E.C.I.A.L. - Non-Foil Edition,Secret Lair Drop Secret Lair x Fallout SPECIAL Non Foil Edition,https://www.tcgplayer.com/product/545713/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-fallout-special-non-foil-edition,Normal,100.0,123.99,82.98
545714,Secret Lair Drop Series,Secret Lair Drop: Diabolical Dioramas - Rainbow Foil Edition,Secret Lair Drop Diabolical Dioramas Rainbow Foil Edition,https://www.tcgplayer.com/product/545714/magic-secret-lair-drop-series-secret-lair-drop-diabolical-dioramas-rainbow-foil-edition,Normal,49.99,79.34,44.93
545716,Secret Lair Drop Series,Secret Lair Drop: Diabolical Dioramas - Non-Foil Edition,Secret Lair Drop Diabolical Dioramas Non Foil Edition,https://www.tcgplayer.com/product/545716/magic-secret-lair-drop-series-secret-lair-drop-diabolical-dioramas-non-foil-edition,Normal,40.0,47.95,35.6
545719,Secret Lair Drop Series,Secret Lair Drop: Artist Series: Rovina Cai - Rainbow Foil Edition,Secret Lair Drop Artist Series Rovina Cai Rainbow Foil Edition,https://www.tcgplayer.com/product/545719/magic-secret-lair-drop-series-secret-lair-drop-artist-series-rovina-cai-rainbow-foil-edition,Normal,129.99,144.31,101.12
545721,Secret Lair Drop Series,Secret Lair Drop: Artist Series: Rovina Cai - Non-Foil Edition,Secret Lair Drop Artist Series Rovina Cai Non Foil Edition,https://www.tcgplayer.com/product/545721/magic-secret-lair-drop-series-secret-lair-drop-artist-series-rovina-cai-non-foil-edition,Normal,66.0,84.0,62.9
545722,Secret Lair Drop Series,Secret Lair Drop: Featuring: Phoebe Wahl - Rainbow Foil Edition,Secret Lair Drop Featuring Phoebe Wahl Rainbow Foil Edition,https://www.tcgplayer.com/product/545722/magic-secret-lair-drop-series-secret-lair-drop-featuring-phoebe-wahl-rainbow-foil-edition,Normal,75.0,85.0,64.37
545723,Secret Lair Drop Series,Secret Lair Drop: Featuring: Phoebe Wahl - Non-Foil Edition,Secret Lair Drop Featuring Phoebe Wahl Non Foil Edition,https://www.tcgplayer.com/product/545723/magic-secret-lair-drop-series-secret-lair-drop-featuring-phoebe-wahl-non-foil-edition,Normal,60.0,72.95,50.72
545740,Secret Lair Drop Series,Bojuka Bog (Rainbow Foil),Bojuka Bog Rainbow Foil,https://www.tcgplayer.com/product/545740/magic-secret-lair-drop-series-bojuka-bog-rainbow-foil,Foil,33.0,39.97,35.07
545753,Secret Lair Drop Series,Aura Shards (Rainbow Foil),Aura Shards Rainbow Foil,https://www.tcgplayer.com/product/545753/magic-secret-lair-drop-series-aura-shards-rainbow-foil,Foil,37.99,47.05,41.95
545758,Secret Lair Drop Series,Arcane Signet (1641) (Rainbow Foil),Arcane Signet 1641 Rainbow Foil,https://www.tcgplayer.com/product/545758/magic-secret-lair-drop-series-arcane-signet-1641-rainbow-foil,Foil,59.56,79.98,51.96
545768,Secret Lair Drop Series,Generous Patron (Extended Art),Generous Patron Extended Art,https://www.tcgplayer.com/product/545768/magic-secret-lair-drop-series-generous-patron-extended-art,Foil,32.52,44.08,43.91
546499,Secret Lair Drop Series,Sonic Screwdriver,Sonic Screwdriver,https://www.tcgplayer.com/product/546499/magic-secret-lair-drop-series-sonic-screwdriver,Normal,45.26,52.0,41.21
547742,Secret Lair Drop Series,Arcane Signet (0820) (Rainbow Foil),Arcane Signet 0820 Rainbow Foil,https://www.tcgplayer.com/product/547742/magic-secret-lair-drop-series-arcane-signet-0820-rainbow-foil,Foil,34.11,39.99,36.3
548569,Secret Lair Drop Series,"Miku, Lost but Singing - Azusa, Lost but Seeking (Rainbow Foil)",Miku Lost but Singing Azusa Lost but Seeking Rainbow Foil,https://www.tcgplayer.com/product/548569/magic-secret-lair-drop-series-miku-lost-but-singing-azusa-lost-but-seeking-rainbow-foil,Foil,43.88,52.31,41.16
549475,Secret Lair Drop Series,tOrMEnt oF hAiLFiRe,tOrMEnt oF hAiLFiRe,https://www.tcgplayer.com/product/549475/magic-secret-lair-drop-series-torment-of-hailfire,Normal,55.54,64.36,51.98
549476,Secret Lair Drop Series,tOrMEnt oF hAiLFiRe (Rainbow Foil),tOrMEnt oF hAiLFiRe Rainbow Foil,https://www.tcgplayer.com/product/549476/magic-secret-lair-drop-series-torment-of-hailfire-rainbow-foil,Foil,50.0,58.36,51.86
551437,Secret Lair Drop Series,Secret Lair Drop: Secret Lair x Hatsune Miku: Sakura Superstar EN - Rainbow Foil Edition,Secret Lair Drop Secret Lair x Hatsune Miku Sakura Superstar EN Rainbow Foil Edition,https://www.tcgplayer.com/product/551437/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-hatsune-miku-sakura-superstar-en-rainbow-foil-edition,Normal,289.98,300.0,191.87
551438,Secret Lair Drop Series,Secret Lair Drop: Secret Lair x Hatsune Miku: Sakura Superstar EN - Non-Foil Edition,Secret Lair Drop Secret Lair x Hatsune Miku Sakura Superstar EN Non Foil Edition,https://www.tcgplayer.com/product/551438/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-hatsune-miku-sakura-superstar-en-non-foil-edition,Normal,148.88,198.34,110.96
551440,Secret Lair Drop Series,Secret Lair Drop: Secret Lair x Hatsune Miku: Sakura Superstar JP - Rainbow Foil Edition,Secret Lair Drop Secret Lair x Hatsune Miku Sakura Superstar JP Rainbow Foil Edition,https://www.tcgplayer.com/product/551440/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-hatsune-miku-sakura-superstar-jp-rainbow-foil-edition,Normal,59.99,74.94,59.16
551442,Secret Lair Drop Series,Secret Lair Drop: Secret Lair x Hatsune Miku: Sakura Superstar JP - Non-Foil Edition,Secret Lair Drop Secret Lair x Hatsune Miku Sakura Superstar JP Non Foil Edition,https://www.tcgplayer.com/product/551442/magic-secret-lair-drop-series-secret-lair-drop-secret-lair-x-hatsune-miku-sakura-superstar-jp-non-foil-edition,Normal,34.99,50.0,41.05
551443,Secret Lair Drop Series,Secret Lair Drop: Goblingram - Rainbow Foil Edition,Secret Lair Drop Goblingram Rainbow Foil Edition,https://www.tcgplayer.com/product/551443/magic-secret-lair-drop-series-secret-lair-drop-goblingram-rainbow-foil-edition,Normal,50.0,55.63,47.99
551445,Secret Lair Drop Series,Secret Lair Drop: sAnS mERcY - Rainbow Foil Edition,Secret Lair Drop sAnS mERcY Rainbow Foil Edition,https://www.tcgplayer.com/product/551445/magic-secret-lair-drop-series-secret-lair-drop-sans-mercy-rainbow-foil-edition,Normal,56.66,84.99,56.66
551446,Secret Lair Drop Series,Secret Lair Drop: sAnS mERcY - Non-Foil Edition,Secret Lair Drop sAnS mERcY Non Foil Edition,https://www.tcgplayer.com/product/551446/magic-secret-lair-drop-series-secret-lair-drop-sans-mercy-non-foil-edition,Normal,85.0,89.99,49.93
